seed,latent_dim,fbank_size,ckpt_path,fpe,tpa,tpa_mean,tpa_std
1,8,16,results/tversky_sirl_gridrobot/tversky_sirl_dim8_fbank16_seed1.pth,0.173903602983615,"[0.6299999952316284, 0.5849999785423279, 0.5899999737739563, 0.7549999952316284, 0.7799999713897705, 0.6050000190734863, 0.5649999976158142, 0.6800000071525574]",0.6487499922513962,0.07606534744072109
2,8,16,results/tversky_sirl_gridrobot/tversky_sirl_dim8_fbank16_seed2.pth,0.17809589296606512,"[0.6899999976158142, 0.6299999952316284, 0.6200000047683716, 0.7950000166893005, 0.7799999713897705, 0.6000000238418579, 0.5400000214576721, 0.6549999713897705]",0.6637500002980232,0.08211081662804627
0,10,2,results/tversky_sirl_gridrobot/tversky_sirl_dim10_fbank2_seed0.pth,0.1756293145295982,"[0.6499999761581421, 0.5350000262260437, 0.6000000238418579, 0.75, 0.6650000214576721, 0.6449999809265137, 0.5350000262260437, 0.625]",0.6256250068545341,0.06621165310914916
1,10,2,results/tversky_sirl_gridrobot/tversky_sirl_dim10_fbank2_seed1.pth,0.16778708720868532,"[0.7200000286102295, 0.5450000166893005, 0.6100000143051147, 0.7250000238418579, 0.7850000262260437, 0.625, 0.5550000071525574, 0.6800000071525574]",0.6556250154972076,0.08036781281162869
2,10,2,results/tversky_sirl_gridrobot/tversky_sirl_dim10_fbank2_seed2.pth,0.17208529832071257,"[0.7950000166893005, 0.7049999833106995, 0.6899999976158142, 0.824999988079071, 0.824999988079071, 0.675000011920929, 0.699999988079071, 0.7599999904632568]",0.7468749955296516,0.05814515640145793
0,10,4,results/tversky_sirl_gridrobot/tversky_sirl_dim10_fbank4_seed0.pth,0.17789562851524526,"[0.8199999928474426, 0.7200000286102295, 0.7599999904632568, 0.8899999856948853, 0.8799999952316284, 0.7450000047683716, 0.7400000095367432, 0.7950000166893005]",0.7937500029802322,0.06045400216646331
1,10,4,results/tversky_sirl_gridrobot/tversky_sirl_dim10_fbank4_seed1.pth,0.17527244088954239,"[0.7250000238418579, 0.5799999833106995, 0.5400000214576721, 0.7699999809265137, 0.75, 0.5600000023841858, 0.5350000262260437, 0.6549999713897705]",0.6393750011920929,0.09183671996393201
2,10,4,results/tversky_sirl_gridrobot/tversky_sirl_dim10_fbank4_seed2.pth,0.17630959996581444,"[0.7099999785423279, 0.7450000047683716, 0.6499999761581421, 0.7300000190734863, 0.7549999952316284, 0.6600000262260437, 0.675000011920929, 0.6549999713897705]",0.6974999979138374,0.03992180294247329
0,10,8,results/tversky_sirl_gridrobot/tversky_sirl_dim10_fbank8_seed0.pth,0.17461589068210465,"[0.6850000023841858, 0.5199999809265137, 0.6050000190734863, 0.7749999761581421, 0.7200000286102295, 0.6100000143051147, 0.550000011920929, 0.6449999809265137]",0.6387500017881393,0.08006832897466475
1,10,8,results/tversky_sirl_gridrobot/tversky_sirl_dim10_fbank8_seed1.pth,0.17652208969744265,"[0.5950000286102295, 0.5299999713897705, 0.5899999737739563, 0.7099999785423279, 0.7649999856948853, 0.6100000143051147, 0.4950000047683716, 0.5849999785423279]",0.609999991953373,0.08284020462493807
2,10,8,results/tversky_sirl_gridrobot/tversky_sirl_dim10_fbank8_seed2.pth,0.17385951617269593,"[0.7149999737739563, 0.6299999952316284, 0.5799999833106995, 0.7400000095367432, 0.7699999809265137, 0.6200000047683716, 0.5099999904632568, 0.6549999713897705]",0.6524999886751175,0.08100925781037965
0,10,16,results/tversky_sirl_gridrobot/tversky_sirl_dim10_fbank16_seed0.pth,0.1739023446477675,"[0.6299999952316284, 0.5149999856948853, 0.5849999785423279, 0.7850000262260437, 0.75, 0.5899999737739563, 0.49000000953674316, 0.6150000095367432]",0.619999997317791,0.09637168416084564
1,10,16,results/tversky_sirl_gridrobot/tversky_sirl_dim10_fbank16_seed1.pth,0.17622631942603478,"[0.6349999904632568, 0.5149999856948853, 0.6050000190734863, 0.75, 0.7250000238418579, 0.5899999737739563, 0.5350000262260437, 0.6299999952316284]",0.6231250017881393,0.07709318961727486
