seed,latent_dim,fbank_size,ckpt_path,fpe,tpa,tpa_mean,tpa_std
2,6,8,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim6_fbank8_seed2.pth,0.18036934060441173,"[0.5049999952316284, 0.5149999856948853, 0.4749999940395355, 0.6200000047683716, 0.6200000047683716, 0.5049999952316284, 0.5350000262260437, 0.5600000023841858]",0.5418750010430813,0.05061728766610107
0,6,16,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim6_fbank16_seed0.pth,0.18022341199336628,"[0.6800000071525574, 0.5649999976158142, 0.6549999713897705, 0.7300000190734863, 0.7250000238418579, 0.625, 0.5299999713897705, 0.6299999952316284]",0.6424999982118607,0.06628538113624213
1,6,16,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim6_fbank16_seed1.pth,0.18064035481188984,"[0.6399999856948853, 0.550000011920929, 0.5849999785423279, 0.6800000071525574, 0.6499999761581421, 0.4749999940395355, 0.5049999952316284, 0.6100000143051147]",0.58687499538064,0.06763585751988033
2,6,16,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim6_fbank16_seed2.pth,0.18077760655143668,"[0.6499999761581421, 0.574999988079071, 0.625, 0.6349999904632568, 0.550000011920929, 0.6050000190734863, 0.6200000047683716, 0.6349999904632568]",0.6118749976158142,0.03161659279375729
0,8,2,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim8_fbank2_seed0.pth,0.17919021631410822,"[0.5950000286102295, 0.5450000166893005, 0.574999988079071, 0.6100000143051147, 0.5950000286102295, 0.6000000238418579, 0.5199999809265137, 0.5849999785423279]",0.5781250074505806,0.028716022916908883
1,8,2,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim8_fbank2_seed1.pth,0.17950310603348163,"[0.574999988079071, 0.5249999761581421, 0.6000000238418579, 0.6449999809265137, 0.6650000214576721, 0.5149999856948853, 0.5299999713897705, 0.5450000166893005]",0.5749999955296516,0.053209501100075184
2,8,2,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim8_fbank2_seed2.pth,0.17941128994550737,"[0.6200000047683716, 0.5400000214576721, 0.5249999761581421, 0.6800000071525574, 0.48500001430511475, 0.5049999952316284, 0.5149999856948853, 0.5400000214576721]",0.5512500032782555,0.061326485271767275
0,8,4,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim8_fbank4_seed0.pth,0.18075158734322577,"[0.4699999988079071, 0.5049999952316284, 0.5699999928474426, 0.5149999856948853, 0.6700000166893005, 0.48500001430511475, 0.5550000071525574, 0.47999998927116394]",0.53125,0.062035781060685864
1,8,4,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim8_fbank4_seed1.pth,0.18024159036717943,"[0.5199999809265137, 0.4950000047683716, 0.5299999713897705, 0.7400000095367432, 0.7599999904632568, 0.550000011920929, 0.5, 0.6499999761581421]",0.5931249931454659,0.10133291441091985
2,8,4,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim8_fbank4_seed2.pth,0.18050470820214268,"[0.574999988079071, 0.5849999785423279, 0.6800000071525574, 0.7400000095367432, 0.7149999737739563, 0.675000011920929, 0.574999988079071, 0.6399999856948853]",0.6481249928474426,0.060618562307402105
